profile,distribution,records,key_bytes,access,variant,process,trials,wall_min_ns,wall_median_ns,wall_max_ns,wall_max_min_ratio,cpu_min_ns,cpu_median_ns,cpu_max_ns,cpu_max_min_ratio,cpu_wall_min,cpu_wall_median,cpu_wall_max
typed-byte,structured,2097152,16,random,direct32,0,3,3886.482,3914.795,3974.246,1.0225818619512455,3874.088,3897.733,3949.151,1.0193756569288048,0.9936855947014854,0.9956416619516476,0.9968109977094968
typed-byte,structured,2097152,16,random,direct32,1,3,3857.098,3876.944,3888.987,1.0082676146678151,3844.691,3868.551,3877.695,1.0085843049545464,0.9967833329617241,0.9970964161104164,0.9978351505722033
typed-byte,structured,2097152,16,random,direct32,2,3,3706.278,3740.576,3745.006,1.0104492971115497,3699.541,3732.126,3736.874,1.0100912518607037,0.9977409896229886,0.9978285749074901,0.9981822734290305
typed-byte,structured,2097152,16,random,direct64,0,3,3890.135,3953.364,3967.1,1.0197846604295222,3880.572,3941.535,3954.486,1.0190471920118993,0.9968203473570114,0.9970078646944728,0.9975417305569086
typed-byte,structured,2097152,16,random,direct64,1,3,3882.367,3915.052,3941.593,1.0152551265761325,3870.64,3905.608,3931.782,1.015796354091313,0.9969794200290698,0.9975109048549661,0.9975877715034182
typed-byte,structured,2097152,16,random,direct64,2,3,3891.339,3891.963,3982.953,1.0235430529182885,3874.533,3879.701,3960.416,1.0221660262023837,0.9943416354649428,0.9955215401585266,0.9970092556829411
typed-byte,structured,2097152,16,random,packed,0,3,3923.452,3957.95,3978.413,1.0140083273607017,3914.763,3945.843,3956.537,1.0106708886336158,0.9945013250258331,0.9969410932427141,0.9977853685988767
typed-byte,structured,2097152,16,random,packed,1,3,3942.064,3945.257,3970.365,1.0071792340256271,3934.61,3937.653,3961.31,1.0067859330403774,0.9977193532584536,0.9980726223918999,0.9981091123837665
typed-byte,structured,2097152,16,random,packed,2,3,3764.691,3768.731,3768.745,1.0010768480069148,3753.614,3757.186,3757.434,1.0010176858888529,0.9969366346390868,0.9969987356533807,0.9970576602435632
typed-byte,structured,2097152,16,random,sub32,0,3,4228.025,4239.964,4248.468,1.0048351180515727,4216.721,4229.982,4233.488,1.0039763124000856,0.9964740231066823,0.9973264112676722,0.9976457347279364
typed-byte,structured,2097152,16,random,sub32,1,3,4259.597,4270.478,4275.35,1.0036982371806535,4248.86,4260.337,4264.908,1.0037770131282275,0.9974793390078921,0.9975576268609587,0.9976253243782078
typed-byte,structured,2097152,16,random,sub32,2,3,4140.666,4160.705,4184.947,1.0106941733527892,4126.896,4148.976,4172.897,1.0111466341773576,0.9966744480235787,0.9971206325910459,0.9971810065842206
