variant,trial,case,operation,mode,round,items,ns,calls,requested,peak,live,checksum
candidate_reuse,0,byte-3-4096,build,0,3,5690,1201792,0,0,0,0,2588134493
candidate_reuse,0,byte-3-4096,query,0,3,4096,20859250,0,0,0,0,6584442294199094370
candidate_reuse,0,byte-3-4096,build,1,3,5690,1233500,0,0,0,0,2588134493
candidate_reuse,0,byte-3-4096,build,2,3,5690,1340791,0,0,0,0,2588134493
candidate_reuse,0,byte-15-4096,build,1,1,2632,640875,0,0,0,0,1896941275
candidate_reuse,0,byte-15-4096,build,2,1,2632,587750,0,0,0,0,1896941275
candidate_reuse,0,byte-15-4096,build,3,1,2632,586958,0,0,0,0,1896941275
candidate_reuse,0,byte-15-4096,build,0,1,2632,611833,0,0,0,0,1896941275
candidate_reuse,0,byte-15-4096,query,0,1,4096,18946042,0,0,0,0,6584442294199094370
candidate_reuse,0,byte-15-4096,build,2,2,2632,653250,0,0,0,0,1896941275
candidate_reuse,0,byte-15-4096,build,3,2,2632,600875,0,0,0,0,1896941275
candidate_reuse,0,byte-15-4096,build,0,2,2632,630666,0,0,0,0,1896941275
candidate_reuse,0,byte-15-4096,query,0,2,4096,18689500,0,0,0,0,6584442294199094370
candidate_reuse,0,byte-15-4096,build,1,2,2632,611917,0,0,0,0,1896941275
candidate_reuse,0,byte-15-4096,build,3,3,2632,740125,0,0,0,0,1896941275
candidate_reuse,0,byte-15-4096,build,0,3,2632,622417,0,0,0,0,1896941275
candidate_reuse,0,byte-15-4096,query,0,3,4096,18500584,0,0,0,0,6584442294199094370
