records,key_bytes,distribution,query_kind,access,profile,process,wall_min_ns,wall_median_ns,wall_max_ns,wall_max_min_ratio,cpu_max_min_ratio,cpu_wall_min,cpu_wall_median,cpu_wall_max
131072,128,hash,mixed,independent,typed-bit,0,7732.351,7808.085,7970.113,1.0307489921241288,1.0313053852568164,0.9957866749657567,0.9977186757300595,0.9982572392637343
131072,128,hash,mixed,independent,typed-bit,1,7750.27,7926.056,8109.207,1.046312838133381,1.0480735141017963,0.9931330285831945,0.996822949394021,0.9985003465813611
131072,128,hash,mixed,independent,typed-bit,2,7762.299,7819.178,7826.411,1.008259408713836,1.0086706597959707,0.9959690136226595,0.9977675428375021,0.9981745144741312
131072,128,hash,mixed,independent,typed-byte,0,4163.0,4314.819,4441.966,1.067010809512371,1.0696115546740597,0.9932421267265207,0.995548883017055,0.997975446007466
131072,128,hash,mixed,independent,typed-byte,1,3714.025,3729.319,3738.057,1.0064706080330639,1.0065733711426474,1.0000109939643136,1.0000137317330928,1.0001158355798212
131072,128,hash,mixed,independent,typed-byte,2,4101.049,4108.749,4169.367,1.0166586646489715,1.013328593973266,0.9934930170455131,0.9967579026731942,0.9977681771264197
131072,128,structured,hit,dependent,typed-bit,0,6888.199,7111.226,7140.035,1.0365605000668534,1.0382841575644304,0.9967354311337406,0.9976977246961355,0.9983928650209699
131072,128,structured,hit,dependent,typed-bit,1,6875.27,6971.466,7292.953,1.0607515050318024,1.0629800058377117,0.9966154056495236,0.996708870128607,0.998709164860928
131072,128,structured,hit,dependent,typed-bit,2,6774.277,6899.2,6987.106,1.0314172272553956,1.0302322977815224,0.9969980418216069,0.9974617346938776,0.9981447466644779
131072,128,structured,hit,dependent,typed-byte,0,3354.095,3379.695,3418.462,1.019190571525255,1.0192502390670692,0.9980000566471732,0.9980584836104657,0.998066097680412
131072,128,structured,hit,dependent,typed-byte,1,3413.218,3472.438,3582.626,1.0496329270500742,1.0503211010252205,0.9973076553130682,0.9974563593652677,0.9981103246612959
131072,128,structured,hit,dependent,typed-byte,2,3346.303,3419.795,3470.037,1.0369763288022633,1.0367281974361962,0.9812956624592994,0.997119627254695,0.9973582786735093
131072,128,structured,hit,independent,typed-bit,0,6822.464,6976.74,7081.558,1.0379766020018575,1.0365441431281681,0.9952992371795424,0.9968131306698328,0.9981906830142306
131072,128,structured,hit,independent,typed-bit,1,6879.099,6885.595,6903.865,1.0036001807794888,1.0046527793185673,0.994938563769725,0.9969225933589373,0.9969715510708597
131072,128,structured,hit,independent,typed-bit,2,6765.33,6767.176,6859.278,1.0138866840198484,1.013523820468518,0.9951831665081952,0.9952678931359256,0.9971189875438449
131072,128,structured,hit,independent,typed-byte,0,3266.795,3300.349,3329.081,1.0190663938202429,1.0191243984860732,0.9994159413125097,0.999440665214497,0.9994728274860238
131072,128,structured,hit,independent,typed-byte,1,3361.099,3486.181,3609.945,1.0740370932245673,1.0714679255205921,0.9955489626573257,0.997936091736661,0.998367267792464
131072,128,structured,hit,independent,typed-byte,2,3304.988,3394.562,3461.538,1.0473677967968418,1.0268453996693219,0.9738879076294988,0.9983891883547863,0.9986393294014986
131072,128,structured,miss,dependent,typed-bit,0,6916.133,7115.036,7122.289,1.0298079866306793,1.0302949113330095,0.9977052821658245,0.9978349172868711,0.998306724144443
131072,128,structured,miss,dependent,typed-bit,1,7090.734,7102.793,7255.381,1.0232200220738783,1.0246348826418596,0.996762541158105,0.9969292318679561,0.9983077387665789
131072,128,structured,miss,dependent,typed-bit,2,7092.753,7105.571,7167.246,1.0105026919730604,1.0109746319257158,0.995906873634786,0.9964625865302231,0.9969279692646241
131072,128,structured,miss,dependent,typed-byte,0,3339.661,3361.023,3377.141,1.0112226959562662,1.0108113878192577,0.9981987722751285,0.998604948226781,0.9988438044012196
131072,128,structured,miss,dependent,typed-byte,1,3486.954,3522.217,3621.831,1.0386804643823808,1.0334502682446791,0.9920852187747026,0.9934569619077983,0.997106070226335
131072,128,structured,miss,dependent,typed-byte,2,3299.845,3550.547,3553.436,1.0768493671672459,1.0746467217887998,0.9965948451020363,0.9973584351932252,0.9986375117619162
131072,128,structured,miss,independent,typed-bit,0,6997.284,7059.392,7314.265,1.0453005766237302,1.0446522707280115,0.9977017513037878,0.9983018367587464,0.9983209199455103
131072,128,structured,miss,independent,typed-bit,1,7124.201,7211.685,7294.067,1.0238435159255053,1.0235823574258258,0.9980105748960079,0.998265208968697,0.9982819549106762
131072,128,structured,miss,independent,typed-bit,2,7056.122,7078.573,7190.287,1.0190139853024083,1.0176545501330714,0.9957066205293071,0.9960952879905907,0.9974259231912372
131072,128,structured,miss,independent,typed-byte,0,3384.583,3426.381,3442.347,1.0170667996618785,1.015062825616062,0.9968867171148057,0.9982841954820553,0.9988548072244054
131072,128,structured,miss,independent,typed-byte,1,3383.077,3514.923,3559.753,1.0522234640240231,1.052198521407139,0.9969931062501227,0.9980984635731748,0.998122123735286
131072,128,structured,miss,independent,typed-byte,2,3440.928,3447.433,3449.371,1.0024536985371388,1.0091515428977105,0.986597846389965,0.9950621230347333,0.9980697067767765
